recipients,donors,transconjugants,segregadas,adaptations_number,cycle
949101,887,10,2,0,6375180
949111,866,12,11,0,9468065
949150,826,9,15,0,12477389
949143,830,7,20,0,15477793
949146,829,10,15,0,18469571
949148,829,8,15,0,21468139
949137,833,15,15,0,24463200
949128,845,14,13,0,27460216
949100,869,17,14,0,30451340
949061,906,18,15,0,33445513
949053,916,20,11,0,36436968
949045,909,33,13,0,39445569
949051,899,38,12,0,42442767
949069,889,23,19,0,45430696
949033,925,17,25,0,48426434
949050,900,29,21,0,51411482
949072,887,26,15,0,54408683
949062,909,13,16,0,57404159
949082,892,14,12,0,60392304
949123,860,16,1,0,63384287
949134,851,12,3,0,66379605
949159,825,16,0,0,69376348
949173,809,18,0,0,72369083
949166,810,24,0,0,75358885
949178,787,35,0,0,78345537
949161,800,39,0,0,81344539
949145,825,30,0,0,84329672
949137,835,27,1,0,87315619
949112,859,25,4,0,90297902
949125,841,29,5,0,93289688
949142,824,28,6,0,96298848
949189,782,22,7,0,99289471
949187,789,14,10,0,102290880
949191,768,27,14,0,105287412
949187,778,21,14,0,108282396
949179,773,30,18,0,111283452
949137,812,36,15,0,114270507
949152,797,31,20,0,117271593
949148,809,28,15,0,120268557
949203,758,28,11,0,123251187
949226,734,31,9,0,126233424
949296,668,30,6,0,129226179
949286,676,27,11,0,132211333
949252,714,22,12,0,135199997
949249,720,17,14,0,138191007
949283,682,14,21,0,141184371
949291,657,25,27,0,144164288
949304,652,21,23,0,147159448
949321,625,31,23,0,150155655
949312,627,37,24,0,153147561
949331,613,34,22,0,156138142
949348,595,35,22,0,159135450
949373,585,29,13,0,162128605
949394,580,20,6,0,165125716
949395,576,23,6,0,168120192
949409,563,23,5,0,171113973
949406,565,25,4,0,174106745
949378,597,20,5,0,177100651
949384,593,14,9,0,180094866
949392,588,15,5,0,183084196
949415,564,13,8,0,186088065
949417,560,11,12,0,189085638
949438,540,9,13,0,192086206
949419,560,9,12,0,195081172
949424,547,12,17,0,198064061
949466,505,15,14,0,201067590
949472,503,19,6,0,204060073
949486,488,20,6,0,207054368
949492,482,16,10,0,210053896
949484,496,10,10,0,213038449
949451,530,5,14,0,216026636
949454,531,5,10,0,219024641
949452,537,6,5,0,222007620
949458,528,8,6,0,224992226
949445,540,5,10,0,227982602
949437,547,6,10,0,230988350
949434,551,5,10,0,233989308
949443,541,6,10,0,236986677
949453,529,9,9,0,239973345
949460,522,5,13,0,242970871
949488,486,9,17,0,245968933
949509,475,6,10,0,248950366
949503,479,5,13,0,251945148
949499,477,10,14,0,254931176
949483,488,11,18,0,257926147
949464,498,15,23,0,260916247
949440,523,13,24,0,263909829
949445,523,10,22,0,266913280
949478,485,12,25,0,269915405
949492,468,11,29,0,272919236
949490,470,13,27,0,275916387
949502,480,8,10,0,278912175
949455,523,12,10,0,281893636
949473,512,10,5,0,284882722
949483,501,10,6,0,287869316
949492,502,5,1,0,290861716
949487,508,5,0,0,293869379
949489,505,6,0,0,296851192
949501,489,10,0,0,299844242
949509,478,12,1,0,302829458
949493,487,15,5,0,305818615
949489,485,18,8,0,308810903
949505,465,21,9,0,311816811
949513,452,24,11,0,314819012
949573,378,31,18,0,317814676
949550,392,34,24,0,320808403
949538,411,32,19,0,323805825
949558,388,29,25,0,326805835
949561,391,20,28,0,329783861
949539,416,21,24,0,332780123
949561,392,22,25,0,335780260
949577,370,19,34,0,338762639
949567,360,25,48,0,341753588
949577,346,22,55,0,344753987
949586,346,20,48,0,347756606
949582,343,23,52,0,350757788
949589,352,27,32,0,353753483
949603,349,18,30,0,356743338
949608,345,18,29,0,359734688
949643,317,17,23,0,362741835
949632,311,23,34,0,365734898
949637,316,11,36,0,368728567
949645,294,12,49,0,371726880
949616,306,18,60,0,374724206
949599,323,16,62,0,377719800
949604,336,21,39,0,380716126
949593,343,17,47,0,383720706
949593,334,16,57,0,386721717
949589,340,18,53,0,389719591
949612,323,16,49,0,392710286
949673,269,14,44,0,395713946
949653,304,10,33,0,398709867
949646,317,7,30,0,401715445
949648,312,11,29,0,404704120
949647,303,10,40,0,407698877
949636,299,13,52,0,410694461
949642,288,13,57,0,413693506
949620,295,15,70,0,416691235
949597,298,20,85,0,419679879
949585,305,21,89,0,422673548
949599,284,17,100,0,425664595
949586,285,13,116,0,428658442
949584,277,12,127,0,431652995
949591,269,12,128,0,434646316
949589,262,15,134,0,437648981
949564,287,12,137,0,440638954
949560,292,6,142,0,443650738
949555,299,4,142,0,446653966
949539,318,5,138,0,449652508
949513,333,0,154,0,452643093
949516,327,5,152,0,455641130
949530,320,10,140,0,458638132
949545,304,19,132,0,461642351
949559,299,15,127,0,464641989
949529,314,14,143,0,467620558
949494,331,16,159,0,470627283
949498,338,23,141,0,473618174
949509,344,23,124,0,476619077
949500,348,21,131,0,479618317
949498,350,15,137,0,482608195
949502,367,10,121,0,485604470
949488,387,10,115,0,488585072
949500,369,10,121,0,491579102
949510,362,16,112,0,494563441
949496,367,18,119,0,497561488
949542,347,14,97,0,500556253
949541,348,19,92,0,503545530
949525,370,17,88,0,506541388
949535,363,18,84,0,509531098
949562,338,15,85,0,512529962
949551,354,7,88,0,515522768
949521,380,7,92,0,518522220
949482,402,14,102,0,521526021
949492,420,5,83,0,524531999
949503,411,8,78,0,527526177
949507,397,15,81,0,530517973
949531,382,16,71,0,533511160
949537,382,9,72,0,536507195
949581,340,4,75,0,539502085
949556,357,6,81,0,542494592
949571,337,10,82,0,545485437
949560,352,9,79,0,548487231
949530,376,14,80,0,551490542
949523,387,15,75,0,554479311
949552,364,14,70,0,557470454
949531,378,14,77,0,560458258
949521,395,12,72,0,563453680
949512,396,20,72,0,566453689
949480,407,29,84,0,569444092
949487,399,26,88,0,572441354
949482,409,26,83,0,575429789
949483,408,22,87,0,578422814
949473,429,17,81,0,581416123
949465,458,9,68,0,584404963
949480,453,7,60,0,587400762
949501,436,4,59,0,590385664
949525,412,3,60,0,593373045
949554,388,2,56,0,596369760
949539,389,5,67,0,599359332
949553,382,7,58,0,602363310
949552,394,7,47,0,605361660
949529,393,6,72,0,608365184
949474,428,10,88,0,611351842
949425,481,12,82,0,614341630
949407,494,12,87,0,617337094
949401,490,13,96,0,620355542
949433,465,24,78,0,623348873
949449,450,26,75,0,626348076
949459,452,23,66,0,629340913
949486,438,15,61,0,632339097
949493,436,15,56,0,635328709
949500,429,14,57,0,638335183
949478,446,21,55,0,641322854
949449,477,22,52,0,644318287
949465,465,17,53,0,647306111
949471,461,23,45,0,650301593
949468,458,24,50,0,653305583
949480,449,22,49,0,656290786
949456,471,23,50,0,659273455
949434,486,24,56,0,662261083
949414,506,20,60,0,665268386
949361,548,24,67,0,668257701
949351,557,19,73,0,671255605
949352,557,14,77,0,674254344
949367,532,15,86,0,677249587
949379,521,14,86,0,680235927
949366,518,13,103,0,683240922
949373,507,13,107,0,686242107
949370,523,4,103,0,689233409
949372,528,6,94,0,692234902
949386,515,5,94,0,695229221
949364,530,8,98,0,698227876
949376,510,9,105,0,701214406
