recipients,donors,transconjugants,segregadas,adaptations_number,cycle
452342,443706,53791,161,0,6771692
423054,447725,79024,197,0,10144615
399442,453310,97007,241,0,13464160
379917,460403,109415,265,0,16798472
361667,469314,118719,300,0,20172501
345287,478684,125694,335,0,23545436
330159,488647,130866,328,0,26943261
315614,498913,135114,359,0,30344041
302275,508907,138467,351,0,33766202
289826,520173,139621,380,0,37183231
277701,531149,140741,409,0,40621534
265846,542165,141589,400,0,44059057
253769,553989,141878,364,0,47510184
241776,566427,141414,383,0,50959256
230823,578256,140533,388,0,54412976
219714,590617,139255,414,0,57859957
209159,602682,137710,449,0,61306410
199245,614528,135790,437,0,64754680
189443,626525,133589,443,0,68207910
179591,638425,131547,437,0,71665321
170856,649675,128998,471,0,75124145
161692,662035,125792,481,0,78575470
153226,673238,123123,413,0,82028106
145178,684621,119781,420,0,85473691
137542,695670,116328,460,0,88918012
130546,706222,112790,442,0,92358037
123317,716442,109838,403,0,95798509
116387,726290,106945,378,0,99248142
109795,736296,103512,397,0,102684763
103821,745995,99834,350,0,106130343
97630,755160,96852,358,0,109560545
91681,764530,93469,320,0,112987228
86310,773351,89982,357,0,116415531
80857,781243,87560,340,0,119844548
76087,789869,83715,329,0,123276700
71147,798153,80382,318,0,126686064
66382,806633,76687,298,0,130080757
62058,814085,73558,299,0,133501057
58115,820877,70691,317,0,136914420
54773,827675,67238,314,0,140319815
51197,834428,64064,311,0,143731330
47366,840851,61480,303,0,147127489
44143,847170,58357,330,0,150519423
40904,853094,55735,267,0,153916924
38072,858820,52867,241,0,157301170
35505,864099,50111,285,0,160691944
32707,869158,47870,265,0,164076868
30437,873858,45475,230,0,167442515
28428,878480,42824,268,0,170811339
26195,882683,40850,272,0,174198261
24095,886547,39116,242,0,177566763
22343,890377,37042,238,0,180942828
20488,894299,34960,253,0,184317637
18976,897605,33219,200,0,187666846
17298,901016,31432,254,0,191034025
15936,904014,29791,259,0,194392651
14523,907079,28152,246,0,197736515
13292,909871,26590,247,0,201106062
11919,912760,25118,203,0,204474443
10885,915203,23701,211,0,207828969
10029,917600,22141,230,0,211190953
9121,919859,20823,197,0,214534916
8423,921802,19573,202,0,217901531
7564,923977,18237,222,0,221257339
6883,925678,17242,197,0,224610086
6222,927327,16258,193,0,227952559
5708,928759,15325,208,0,231299582
5075,930322,14414,189,0,234630486
4543,931684,13577,196,0,237956923
4156,932940,12730,174,0,241281745
3695,934057,12065,183,0,244639323
3278,935112,11420,190,0,247983340
2964,936254,10593,189,0,251325918
2645,937223,9935,197,0,254670034
2442,937980,9378,200,0,258004149
2270,938661,8859,210,0,261339488
2010,939423,8356,211,0,264676090
1720,940320,7759,201,0,268017289
1576,940930,7261,233,0,271356712
1396,941410,6974,220,0,274684036
1180,941860,6760,200,0,278036969
1086,942338,6380,196,0,281366823
960,942924,5938,178,0,284711396
812,943294,5679,215,0,288037735
747,943436,5615,202,0,291371591
660,943806,5369,165,0,294692650
579,944060,5122,239,0,298029771
549,944394,4841,216,0,301366085
497,944701,4626,176,0,304692275
448,945004,4344,204,0,308034348
382,945157,4262,199,0,311374589
305,945384,4102,209,0,314698930
260,945633,3914,193,0,318036927
220,945644,3904,232,0,321363155
162,945905,3735,198,0,324702904
122,945989,3675,214,0,328039093
114,946052,3623,211,0,331377038
90,946067,3615,228,0,334698274
72,946103,3613,212,0,338023130
46,946269,3486,199,0,341345165
44,946293,3459,204,0,344669663
32,946279,3508,181,0,348011732
21,946450,3365,164,0,351349214
14,946541,3244,201,0,354678888
13,946530,3273,184,0,358014203
12,946496,3282,210,0,361340656
14,946463,3329,194,0,364655409
10,946557,3241,192,0,367970611
8,946630,3184,178,0,371290503
5,946617,3196,182,0,374619434
1,946593,3206,200,0,377953332
0,946629,3174,197,0,381273407
0,946590,3215,195,0,384595946
0,946641,3169,190,0,387936115
0,946660,3134,206,0,391273439
0,946699,3112,189,0,394609895
0,946771,3025,204,0,397949745
0,946821,3007,172,0,401264056
0,946773,3005,222,0,404593457
0,946835,2963,202,0,407930005
0,946891,2940,169,0,411264200
0,946907,2896,197,0,414593214
0,946895,2909,196,0,417910890
0,946865,2908,227,0,421234787
0,946811,2983,206,0,424557222
0,946873,2933,194,0,427897860
0,946733,3072,195,0,431239078
0,946787,3022,191,0,434565576
0,946782,3028,190,0,437877933
0,946771,3009,220,0,441212534
0,946800,3005,195,0,444521949
0,946942,2852,206,0,447844978
0,946960,2848,192,0,451187138
0,946941,2885,174,0,454520752
0,946864,2925,211,0,457860459
0,946878,2915,207,0,461182832
0,946918,2883,199,0,464530640
0,946913,2864,223,0,467858085
0,947007,2787,206,0,471185101
0,946875,2945,180,0,474510218
0,946876,2939,185,0,477838454
0,946942,2862,196,0,481181544
0,946962,2816,222,0,484504781
0,946988,2816,196,0,487828890
0,946935,2854,211,0,491167150
0,946962,2818,220,0,494497152
0,946925,2887,188,0,497835080
0,946887,2925,188,0,501176651
0,946948,2866,186,0,504507451
0,946853,2936,211,0,507839872
0,946775,3011,214,0,511160041
0,946736,3076,188,0,514487700
0,946764,3060,176,0,517818358
0,946772,3040,188,0,521154085
0,946742,3070,188,0,524496336
0,946792,3002,206,0,527827502
0,946765,3029,206,0,531165011
0,946762,3069,169,0,534502569
0,946782,3048,170,0,537840986
0,946908,2880,212,0,541170750
0,946832,2966,202,0,544503908
0,946784,2998,218,0,547833879
0,946862,2932,206,0,551165651
0,946847,2959,194,0,554512826
0,946844,2951,205,0,557833300
0,946823,2967,210,0,561166044
0,946746,3049,205,0,564494991
0,946804,2988,208,0,567830128
0,946932,2879,189,0,571165638
0,946919,2869,212,0,574508446
0,946863,2964,173,0,577842223
0,946969,2830,201,0,581176387
0,946916,2889,195,0,584523890
0,946928,2883,189,0,587861522
0,946842,2950,208,0,591186737
0,946813,2993,194,0,594518121
0,946780,3020,200,0,597845242
0,946823,2995,182,0,601172925
0,946882,2918,200,0,604504778
0,946858,2941,201,0,607829600
0,946894,2917,189,0,611164485
0,946905,2900,195,0,614496092
0,946906,2896,198,0,617829652
0,946961,2823,216,0,621161079
0,946942,2864,194,0,624499803
0,946870,2936,194,0,627828072
0,946752,3046,202,0,631151457
0,946663,3140,197,0,634498366
0,946537,3281,182,0,637820152
0,946603,3216,181,0,641150777
0,946588,3213,199,0,644473563
0,946611,3186,203,0,647798953
0,946556,3225,219,0,651132787
0,946559,3243,198,0,654467546
0,946632,3175,193,0,657817135
0,946683,3128,189,0,661130640
0,946790,3021,189,0,664459197
0,946875,2956,169,0,667785603
0,946938,2860,202,0,671118666
0,946844,2969,187,0,674455084
0,946803,2969,228,0,677788052
0,946898,2907,195,0,681129469
0,947043,2760,197,0,684461570
0,946949,2852,199,0,687796770
0,946911,2891,198,0,691133949
0,946877,2943,180,0,694452795
0,946875,2897,228,0,697778216
0,946900,2911,189,0,701107774
0,946894,2906,200,0,704431465
0,946946,2854,200,0,707758721
0,946880,2906,214,0,711090600
0,947004,2810,186,0,714421523
0,946990,2804,206,0,717754219
0,947036,2777,187,0,721083786
0,946996,2805,199,0,724413915
0,947064,2730,206,0,727739537
0,947097,2720,183,0,731088453
0,946882,2917,201,0,734419239
0,946826,2986,188,0,737746072
0,946917,2900,183,0,741064632
0,946917,2882,201,0,744391805
0,946911,2876,213,0,747729685
0,947037,2768,195,0,751057763
0,946920,2854,226,0,754385769
0,946954,2830,216,0,757723010
0,946879,2904,217,0,761053350
0,946968,2828,204,0,764380791
0,946895,2910,195,0,767724042
0,946850,2974,176,0,771049064
0,946901,2902,197,0,774396078
0,946953,2857,190,0,777740551
0,946881,2916,203,0,781070996
0,946969,2829,202,0,784408993
0,946978,2849,173,0,787741536
0,946967,2841,192,0,791064858
0,946923,2874,203,0,794395777
0,946826,2948,226,0,797710596
0,946722,3084,194,0,801027234
0,946684,3080,236,0,804368147
