recipients,donors,transconjugants,segregadas,adaptations_number,cycle
949206,779,8,7,0,6348082
949223,748,16,13,0,9419922
949230,747,15,8,0,12425837
949223,766,5,6,0,15413525
949250,742,5,3,0,18406414
949228,765,6,1,0,21398953
949225,766,9,0,0,24396220
949248,744,8,0,0,27388329
949250,742,7,1,0,30363428
949252,735,10,3,0,33355984
949280,707,10,3,0,36346563
949283,701,14,2,0,39332749
949248,739,12,1,0,42319293
949226,752,18,4,0,45296787
949143,834,18,5,0,48295217
949145,839,14,2,0,51289242
949131,854,12,3,0,54293246
949158,827,12,3,0,57287288
949160,826,12,2,0,60274052
949143,845,11,1,0,63266364
949098,895,6,1,0,66259077
949119,873,6,2,0,69246897
949096,898,4,2,0,72242057
949071,921,6,2,0,75232288
949131,864,4,1,0,78231339
949120,873,7,0,0,81219023
949115,877,8,0,0,84212755
949156,831,13,0,0,87204849
949121,861,18,0,0,90199253
949124,862,14,0,0,93205572
949124,861,12,3,0,96193635
949122,861,15,2,0,99186916
949161,826,11,2,0,102187472
949158,831,8,3,0,105170599
949182,807,10,1,0,108165465
949189,799,11,1,0,111153806
949158,825,16,1,0,114140907
949196,787,16,1,0,117136814
949208,774,18,0,0,120134063
949216,770,14,0,0,123138107
949196,792,12,0,0,126134865
949186,806,8,0,0,129124905
949177,807,16,0,0,132109478
949156,822,22,0,0,135100609
949127,847,21,5,0,138094875
949106,874,15,5,0,141077795
949116,871,7,6,0,144069503
949123,861,11,5,0,147058414
949130,843,20,7,0,150047146
949131,842,21,6,0,153038132
949156,814,22,8,0,156027430
949150,817,26,7,0,159018604
949175,794,27,4,0,162028408
949210,779,11,0,0,165027849
949214,774,11,1,0,168018276
949246,739,12,3,0,171028875
949256,721,13,10,0,174020824
949252,725,10,13,0,177017340
949233,744,12,11,0,180016428
949239,747,5,9,0,183009387
949218,765,6,11,0,186007876
949235,750,6,9,0,188979509
949200,779,13,8,0,191982250
949191,791,11,7,0,194982438
949204,759,15,22,0,197974779
949199,771,13,17,0,200977085
949205,760,13,22,0,203973591
949186,774,12,28,0,206971548
949155,805,6,34,0,209964786
949084,864,11,41,0,212953283
949063,878,17,42,0,215937700
949044,896,16,44,0,218945136
949039,905,16,40,0,221936123
949054,886,13,47,0,224930689
948993,937,14,56,0,227921689
949002,926,13,59,0,230911845
948957,962,19,62,0,233897803
948944,987,14,55,0,236892563
948923,1022,11,44,0,239879170
948948,994,11,47,0,242881269
949008,932,13,47,0,245871087
949011,938,11,40,0,248877376
949015,936,16,33,0,251876215
949093,848,15,44,0,254864279
949025,907,20,48,0,257873327
949013,931,20,36,0,260871066
949027,914,20,39,0,263853580
949074,880,15,31,0,266853518
949023,916,17,44,0,269846299
948985,959,18,38,0,272822046
948987,943,26,44,0,275824733
948991,929,29,51,0,278833529
949021,914,18,47,0,281828605
949065,857,19,59,0,284829341
949061,855,18,66,0,287823654
949066,853,10,71,0,290815325
949075,849,9,67,0,293813888
949058,850,12,80,0,296802006
949053,863,15,69,0,299798776
949108,789,18,85,0,302784022
949142,757,16,85,0,305787000
949169,717,13,101,0,308777012
949199,679,15,107,0,311767602
949210,669,13,108,0,314763710
949197,677,13,113,0,317754737
949189,675,13,123,0,320754498
949136,729,13,122,0,323763990
949085,769,17,129,0,326760114
949104,747,14,135,0,329772057
949108,740,17,135,0,332771229
949075,737,25,163,0,335761558
949064,755,18,163,0,338755009
949100,714,24,162,0,341743084
949125,695,16,164,0,344732884
949143,668,13,176,0,347722857
949196,602,10,192,0,350721546
949189,611,10,190,0,353718015
949175,623,12,190,0,356711864
949143,653,16,188,0,359707316
949121,659,14,206,0,362696506
949124,663,15,198,0,365688320
949106,679,15,200,0,368682511
949140,662,20,178,0,371679617
949163,651,22,164,0,374656281
949183,641,21,155,0,377658990
949156,663,24,157,0,380647748
949101,716,26,157,0,383646176
949112,699,24,165,0,386648343
949084,723,17,176,0,389642933
949080,738,19,163,0,392631737
949096,711,14,179,0,395626938
949089,734,12,165,0,398626682
949094,722,16,168,0,401615437
949117,720,11,152,0,404602233
949117,734,8,141,0,407598046
949096,746,11,147,0,410595975
949126,712,10,152,0,413593340
949135,711,10,144,0,416590804
949181,663,8,148,0,419593115
949136,702,5,157,0,422583456
949132,701,6,161,0,425581467
949133,710,8,149,0,428569309
949106,725,13,156,0,431565554
949123,713,18,146,0,434550241
949109,726,10,155,0,437538932
949083,752,8,157,0,440539025
949089,754,13,144,0,443533364
949047,807,16,130,0,446513060
949067,810,10,113,0,449507963
949081,810,7,102,0,452508585
949089,782,12,117,0,455498876
949068,801,10,121,0,458492516
949052,796,12,140,0,461490134
949050,787,18,145,0,464473345
949032,793,17,158,0,467455132
949029,816,11,144,0,470450871
949041,804,10,145,0,473449096
949058,786,10,146,0,476456141
949051,793,9,147,0,479451141
949075,756,12,157,0,482433691
949014,827,14,145,0,485419003
949024,831,24,121,0,488417595
949038,851,18,93,0,491413402
949011,876,10,103,0,494412112
948983,915,7,95,0,497413808
948975,930,7,88,0,500405647
948915,979,13,93,0,503396229
948895,1006,12,87,0,506386333
948844,1043,19,94,0,509366574
948848,1041,16,95,0,512360426
948825,1055,19,101,0,515350863
948832,1033,22,113,0,518346135
948835,1042,17,106,0,521336626
948837,1024,19,120,0,524323993
948847,1012,15,126,0,527315083
948879,980,17,124,0,530299223
948907,948,19,126,0,533280950
948897,959,19,125,0,536275610
948941,937,21,101,0,539271208
948931,952,19,98,0,542266589
948902,971,21,106,0,545266281
948901,966,22,111,0,548267142
948886,985,19,110,0,551264767
948902,963,17,118,0,554261999
948926,934,14,126,0,557263157
948914,928,12,146,0,560268372
948903,930,7,160,0,563263790
948875,945,12,168,0,566253709
948851,975,15,159,0,569234762
948861,961,11,167,0,572229121
948908,909,18,165,0,575224701
948900,924,23,153,0,578200585
948854,968,27,151,0,581208850
948859,992,14,135,0,584212762
948824,1005,19,152,0,587202732
948841,989,29,141,0,590212380
948836,994,24,146,0,593209602
948867,960,24,149,0,596236286
948852,954,22,172,0,599235492
948849,962,18,171,0,602226783
948841,939,18,202,0,605215320
948828,954,16,202,0,608205424
948807,986,14,193,0,611206698
948760,1011,6,223,0,614204852
948742,1017,11,230,0,617192961
948731,1025,16,228,0,620194129
948763,1025,14,198,0,623195667
948771,1011,17,201,0,626200578
948763,1036,23,178,0,629196345
948752,1054,25,169,0,632192251
948728,1089,17,166,0,635186099
948648,1160,21,171,0,638182506
948568,1219,27,186,0,641173844
948573,1201,16,210,0,644163892
948575,1198,16,211,0,647152034
948554,1213,15,218,0,650151352
948579,1192,15,214,0,653142861
948512,1252,17,219,0,656142363
948505,1275,19,201,0,659128531
948492,1295,16,197,0,662128894
948509,1280,14,197,0,665132391
948478,1306,12,204,0,668145940
948468,1350,18,164,0,671134865
948465,1364,15,156,0,674132726
948472,1369,12,147,0,677131509
948461,1358,23,158,0,680134709
948423,1383,21,173,0,683136711
948343,1451,25,181,0,686132144
948348,1451,24,177,0,689143649
948362,1431,13,194,0,692137631
948383,1421,15,181,0,695131867
948406,1400,22,172,0,698124201
948436,1368,27,169,0,701120134
948458,1337,35,170,0,704105551
948443,1340,36,181,0,707117806
948427,1351,31,191,0,710118634
948437,1372,17,174,0,713113485
948461,1365,15,159,0,716102032
948472,1364,16,148,0,719091771
948488,1350,14,148,0,722090673
948425,1411,19,145,0,725092324
948451,1397,18,134,0,728093207
948438,1425,15,122,0,731082393
948411,1425,21,143,0,734082066
948367,1441,22,170,0,737069933
948349,1475,17,159,0,740068713
948351,1472,14,163,0,743065831
948312,1505,16,167,0,746056087
948314,1487,29,170,0,749053264
948287,1527,19,167,0,752051049
948263,1556,14,167,0,755045450
948290,1534,18,158,0,758027279
948314,1506,13,167,0,761019653
948346,1498,12,144,0,764003230
948336,1486,18,160,0,767000475
948381,1435,17,167,0,769991158
948349,1459,19,173,0,772989246
948286,1502,24,188,0,775977078
948286,1517,23,174,0,778976222
948246,1536,25,193,0,781975592
948318,1451,31,200,0,784965134
948331,1438,38,193,0,787967044
948370,1407,28,195,0,790958988
948356,1432,23,189,0,793951073
948386,1406,20,188,0,796939622
948392,1430,22,156,0,799931900
948386,1431,20,163,0,802943966
948373,1431,24,172,0,805934919
948373,1427,27,173,0,808923032
948338,1452,27,183,0,811915010
948347,1428,19,206,0,814915534
948365,1408,15,212,0,817896311
948470,1302,19,209,0,820890552
948456,1344,16,184,0,823887187
948483,1340,17,160,0,826878425
948486,1347,16,151,0,829869677
948491,1332,21,156,0,832861995
948541,1305,17,137,0,835855749
948559,1294,19,128,0,838846069
948531,1299,19,151,0,841837171
948588,1253,20,139,0,844826336
948610,1218,28,144,0,847827828
948617,1221,23,139,0,850832405
948637,1189,25,149,0,853825451
948642,1193,25,140,0,856808199
948621,1210,30,139,0,859806855
948567,1237,33,163,0,862799424
948529,1271,33,167,0,865784661
948515,1278,27,180,0,868778070
948512,1298,18,172,0,871787663
