recipients,donors,transconjugants,segregadas,adaptations_number,cycle
949373,623,3,1,0,6339888
949375,620,3,2,0,9416987
949386,608,2,4,0,12420398
949395,598,2,5,0,15413743
949417,578,3,2,0,18398306
949409,587,3,1,0,21395080
949422,572,5,1,0,24393720
949479,515,6,0,0,27390884
949518,477,4,1,0,30392608
949507,490,3,0,0,33386654
949534,463,3,0,0,36387128
949500,491,7,2,0,39380059
949549,441,9,1,0,42379372
949557,431,10,2,0,45378766
949580,410,10,0,0,48364026
949601,390,9,0,0,51362553
949646,349,5,0,0,54362844
949650,344,6,0,0,57354298
949672,323,5,0,0,60336851
949668,326,6,0,0,63322059
949667,326,7,0,0,66316408
949695,294,11,0,0,69303785
949690,299,11,0,0,72293626
949720,274,6,0,0,75282701
949725,272,3,0,0,78254338
949733,264,3,0,0,81246843
949730,267,3,0,0,84232591
949731,263,6,0,0,87234199
949756,233,9,2,0,90224557
949754,227,19,0,0,93223249
949793,198,9,0,0,96221711
949798,194,8,0,0,99217608
949801,190,9,0,0,102208410
949804,185,11,0,0,105207797
949817,175,8,0,0,108201353
949809,186,5,0,0,111201438
949809,187,4,0,0,114203931
949823,173,4,0,0,117185741
949830,166,4,0,0,120182165
949825,171,4,0,0,123177427
949833,166,1,0,0,126164258
949826,172,2,0,0,129167073
949848,148,3,1,0,132168923
949841,150,7,2,0,135160519
949820,171,8,1,0,138157407
949828,165,5,2,0,141156647
949844,151,3,2,0,144141428
949833,160,3,4,0,147139869
949814,181,3,2,0,150148925
949831,164,3,2,0,153134518
949841,157,1,1,0,156143941
949851,149,0,0,0,159129474
949860,137,1,2,0,162128275
949854,142,4,0,0,165128033
949859,138,3,0,0,168121247
949874,124,2,0,0,171119713
949881,117,2,0,0,174109382
949905,93,2,0,0,177103669
949910,88,1,1,0,180103865
949916,81,0,3,0,183089755
949916,83,0,1,0,186094862
949934,64,0,2,0,189100912
949927,69,0,4,0,192099666
949930,62,2,6,0,195103585
949918,73,4,5,0,198108491
949926,64,5,5,0,201094476
949928,58,6,8,0,204085610
949915,63,9,13,0,207079280
949932,55,8,5,0,210077397
949946,48,3,3,0,213067167
949929,63,4,4,0,216065101
949931,62,4,3,0,219070076
949939,50,7,4,0,222076336
949944,49,5,2,0,225076776
949933,56,6,5,0,228086890
949938,55,3,4,0,231081311
949947,43,3,7,0,234080031
949936,47,3,14,0,237078611
949941,44,3,12,0,240065764
949942,47,1,10,0,243058147
949939,51,0,10,0,246049737
949937,45,0,18,0,249044483
949943,41,1,15,0,252044179
949942,34,0,24,0,255040787
949935,34,0,31,0,258040431
949936,29,0,35,0,261038821
949934,32,0,34,0,264033948
949935,29,0,36,0,267037751
949936,28,1,35,0,270041118
949949,26,1,24,0,273033253
949948,36,1,15,0,276033223
949953,31,0,16,0,279029038
949954,36,0,10,0,282021284
949935,38,1,26,0,285016576
949927,37,1,35,0,288004599
949937,33,2,28,0,291011171
949954,26,1,19,0,293999460
949946,31,1,22,0,297000456
949954,27,1,18,0,300011233
949950,30,1,19,0,303014765
949948,28,0,24,0,306013646
949936,43,0,21,0,309018479
949948,34,0,18,0,312012681
949943,36,0,21,0,315001872
949945,35,0,20,0,317995640
949941,37,0,22,0,320986599
949957,28,0,15,0,323976233
949950,31,0,19,0,326971837
949959,28,0,13,0,329967084
949965,23,0,12,0,332968496
949960,26,0,14,0,335974426
949964,25,0,11,0,338966622
949962,25,1,12,0,341969512
949973,16,0,11,0,344966084
949965,20,0,15,0,347942361
949964,16,0,20,0,350931801
949964,18,0,18,0,353912041
949954,21,0,25,0,356910804
949950,27,0,23,0,359902920
949944,29,0,27,0,362903899
949949,25,0,26,0,365896316
949947,26,0,27,0,368877060
949951,19,0,30,0,371871352
949944,27,0,29,0,374867105
949942,30,0,28,0,377870101
949939,30,0,31,0,380853965
949952,25,0,23,0,383843720
949947,25,0,28,0,386842093
949940,27,3,30,0,389838070
949948,26,0,26,0,392830677
949945,34,0,21,0,395825009
949945,33,1,21,0,398818442
949952,27,2,19,0,401827089
949948,32,1,19,0,404820594
949954,21,2,23,0,407817619
949962,14,2,22,0,410810768
949974,11,0,15,0,413796969
949988,4,0,8,0,416792533
949990,3,0,7,0,419785741
949995,1,0,4,0,422772887
949999,0,0,1,0,425760341
