recipients,donors,transconjugants,segregadas,adaptations_number,cycle
942022,7929,37,12,0,6299849
942115,7819,54,12,0,9389907
942193,7721,72,14,0,12394541
942374,7528,88,10,0,15387055
942435,7420,128,17,0,18388248
942609,7228,146,17,0,21394560
942771,7048,160,21,0,24395388
942952,6860,160,28,0,27386641
943061,6740,163,36,0,30381317
943226,6566,174,34,0,33373837
943219,6567,171,43,0,36375457
943267,6485,194,54,0,39371908
943511,6240,189,60,0,42372345
943665,6086,188,61,0,45374373
943726,6014,189,71,0,48366409
943808,5934,198,60,0,51360428
943888,5875,185,52,0,54354213
944122,5637,191,50,0,57352421
944283,5452,215,50,0,60341560
944509,5232,204,55,0,63336815
944664,5074,189,73,0,66336957
944896,4863,164,77,0,69320831
945119,4638,166,77,0,72326583
945235,4536,165,64,0,75309864
945396,4377,169,58,0,78319336
945498,4263,172,67,0,81324945
945693,4071,180,56,0,84317379
945798,3973,161,68,0,87326289
945904,3859,162,75,0,90319316
946143,3642,156,59,0,93317062
946375,3417,154,54,0,96308247
946431,3341,161,67,0,99311133
946489,3309,139,63,0,102302540
946642,3152,161,45,0,105315542
946899,2912,140,49,0,108306438
947034,2787,122,57,0,111307917
947067,2761,109,63,0,114301841
947127,2723,87,63,0,117295235
947227,2583,113,77,0,120301352
947322,2499,97,82,0,123292701
947334,2458,127,81,0,126286051
947477,2326,115,82,0,129287602
947439,2346,123,92,0,132282100
947496,2286,118,100,0,135278740
947585,2189,113,113,0,138277407
947613,2178,91,118,0,141272733
947721,2078,85,116,0,144259908
947767,2035,82,116,0,147247039
947825,1967,78,130,0,150244773
947973,1822,72,133,0,153242822
948058,1766,68,108,0,156239669
948046,1784,69,101,0,159231228
948120,1687,77,116,0,162228798
948093,1720,68,119,0,165222318
948105,1729,60,106,0,168212674
948130,1684,71,115,0,171192853
948164,1664,62,110,0,174196784
948117,1717,58,108,0,177190937
948180,1657,60,103,0,180183898
948185,1625,51,139,0,183188242
948300,1534,52,114,0,186189262
948359,1472,56,113,0,189186556
948435,1390,66,109,0,192183054
948513,1312,65,110,0,195188836
948568,1278,60,94,0,198191015
948601,1254,69,76,0,201194641
948716,1147,69,68,0,204191829
948724,1153,51,72,0,207180344
948800,1096,48,56,0,210167152
948892,1008,49,51,0,213157958
948924,959,48,69,0,216155804
948935,934,60,71,0,219151054
949009,870,58,63,0,222151310
949082,822,41,55,0,225150529
949117,781,41,61,0,228154123
949135,751,35,79,0,231132759
949185,720,35,60,0,234119321
949185,727,32,56,0,237108781
949249,658,30,63,0,240103797
949290,629,28,53,0,243099729
949315,609,34,42,0,246104290
949363,544,48,45,0,249096847
949454,476,31,39,0,252090995
949463,460,39,38,0,255080927
949498,424,38,40,0,258082943
949488,428,43,41,0,261089208
949492,416,44,48,0,264076696
949519,388,40,53,0,267067599
949549,380,36,35,0,270067808
949527,409,30,34,0,273058929
949539,401,36,24,0,276061568
949568,387,24,21,0,279060532
949586,365,24,25,0,282051333
949588,380,17,15,0,285057077
949600,357,14,29,0,288048222
949634,324,14,28,0,291043061
949639,307,14,40,0,294033349
949626,304,17,53,0,297023147
949645,281,20,54,0,300006032
949636,291,14,59,0,303003874
949621,308,12,59,0,305991617
949635,302,10,53,0,308992011
949642,288,15,55,0,311999976
949661,272,13,54,0,314995902
949674,256,13,57,0,317985697
949700,227,17,56,0,320986015
949710,225,18,47,0,323970118
949736,204,22,38,0,326964975
949724,222,21,33,0,329976968
949748,191,23,38,0,332973179
949776,164,20,40,0,335964455
949812,131,19,38,0,338957991
949822,130,17,31,0,341964560
949832,124,13,31,0,344961097
949836,130,7,27,0,347947065
949826,142,13,19,0,350945652
949822,147,10,21,0,353941087
949830,144,10,16,0,356930353
949834,140,13,13,0,359927448
949816,159,10,15,0,362912857
949812,160,6,22,0,365903947
949828,147,3,22,0,368903154
949830,137,1,32,0,371899846
949853,125,1,21,0,374899713
949845,128,2,25,0,377893494
949866,107,5,22,0,380877783
949873,109,1,17,0,383870446
949888,102,1,9,0,386850921
949903,88,1,8,0,389845105
949909,80,2,9,0,392846309
949902,81,1,16,0,395839239
949913,71,2,14,0,398840930
949922,64,4,10,0,401835586
949927,57,1,15,0,404829061
949935,51,3,11,0,407826928
949943,47,3,7,0,410820566
949947,44,4,5,0,413817584
949947,40,3,10,0,416806702
949965,29,4,2,0,419800702
949967,24,2,7,0,422791886
949966,26,1,7,0,425785626
949987,11,1,1,0,428780904
949990,9,1,0,0,431780717
949982,15,3,0,0,434773919
949972,23,5,0,0,437759103
949971,22,7,0,0,440760688
949973,22,5,0,0,443748661
949975,23,2,0,0,446736379
949972,27,1,0,0,449719973
949972,27,1,0,0,452719970
949967,31,2,0,0,455711055
949967,33,0,0,0,458705888
949968,32,0,0,0,461697938
949968,32,0,0,0,464680850
949975,24,1,0,0,467672084
949974,26,0,0,0,470645758
949968,31,1,0,0,473631065
949970,30,0,0,0,476632083
949974,26,0,0,0,479635693
949979,21,0,0,0,482635007
949977,21,2,0,0,485626803
949980,19,1,0,0,488617776
949984,14,2,0,0,491617548
949981,15,4,0,0,494611541
949980,19,1,0,0,497603526
949975,21,4,0,0,500613762
949975,18,7,0,0,503609133
949983,13,4,0,0,506602324
949979,17,4,0,0,509602371
949981,19,0,0,0,512594218
949985,15,0,0,0,515582782
949993,7,0,0,0,518563576
949993,7,0,0,0,521568194
949997,3,0,0,0,524573788
950000,0,0,0,0,527569460
